name,timestamp,likes,isretweet,isreply,text,retweets,replies
draftkings,1614636246,79,false,false,"DraftKings is proud to support Problem Gambling Awareness Month.

Learn more: https://t.co/RLlFfVl34V
Responsible gaming tools: https://t.co/3Fg2Bugp4M

#AwarenessPlusAction #PGAM https://t.co/hxeLF4gBum",9,13
draftkings,1615175920,31,false,false,"DAME FOR THE WIN⌚

https://t.co/WhmzbaA0Sa",8,0
draftkings,1615173968,18,false,false,"GIANNIS HASN'T MISSED.

https://t.co/0LWvLRfmfH",4,4
draftkings,1615172460,32,false,false,"Anfernee Simons wins the 2021 #ATTSlamDunk contest.

https://t.co/CGlCqUYCS4",5,11
draftkings,1615171664,28,false,false,"CASSIUS STANLEY BROUGHT IT 🤯

https://t.co/UM7y8uPWKS",4,3
draftkings,1615170782,48,false,false,"Sheesh, Dame.

https://t.co/BmyyEucHi7",8,3
draftkings,1615168259,52,false,false,"Logo Steph 👀

https://t.co/F2kBvG8UkX",10,2
draftkings,1615165045,0,true,false,"RT @DraftKings: The NBA presents a visionary new age of basketball. 

Which team is winning the All-Star Game: Team LeBron or Team Durant?…",52,0
draftkings,1615164790,74,false,false,"Steph called game 😤

https://t.co/E481zB0Bul",13,1
draftkings,1615164109,82,false,false,"Steph is unreal 🔥

31 in the first round.

https://t.co/w9agxmO6l7",16,3
draftkings,1615162659,19,false,false,Officially official. Are the Nets the favorite to win it all?,3,9
draftkings,1615162608,0,true,false,"RT @DKSportsbook: NBA Three-Point Contest Odds:

+110: Stephen Curry
+450: Donovan Mitchell
+500: Mike Conley, Zach Lavine
+600: Jayson Tat…",5,0
draftkings,1615162532,3,false,false,"Don't miss out on the All-Star Game action 🏀

💰 $500,000
🥇 $100,000
🎟 $18 entry fee
🔒 8 PM EST

Draft now: https://t.co/aCl0VCKHBH",1,2
draftkings,1615162153,25,false,false,Sabonis takes down the #TacoBellSkills Challenge with ease. https://t.co/V7pRb98vFr,3,1
draftkings,1615161141,9,false,false,"Who’s winning the #TacoBellSkills Challenge?

#NBAAllStar https://t.co/E0juQsL6tr",4,2
draftkings,1615160588,0,true,false,"RT @DKSportsbook: BIG GOLF BET 

A bettor wagered $5,000 on Bryson Dechambeau to win the Arnold Palmer invitational...

The bet now pays ou…",14,0
draftkings,1615160057,44,false,false,"There was no stopping our guy Bryson today 💪

Congrats on the win @b_dechambeau! https://t.co/ODggrVexED",6,1
draftkings,1615155539,70,false,false,Blake Griffin is expected to sign with the Nets and reunite with DeAndre Jordan 👀 https://t.co/h0ktH4BUlC,12,15
draftkings,1615155070,0,true,false,"RT @dklive: NBA NEWS ALERT: PF/C Blake Griffin has cleared waivers and is expected to sign with the Nets, per @ShamsCharania. https://t.co/…",6,0
draftkings,1615153594,0,true,false,RT @dklive: GOLF WITHDRAW ALERT: Brooks Koepka (knee) has withdrawn from the field for The PLAYERS Championship. https://t.co/cnfcflP3Li,2,0
draftkings,1615148504,0,true,false,RT @DKSportsbook: BRYSON STRENGTH 💪 https://t.co/ydjic9lql2,18,0
draftkings,1615145929,8,false,false,"Answer pool questions about matchups, seedings, and more for your shot to score $100,000 in prizes.

Enter now: https://t.co/RSA2GcU16L https://t.co/JYLt1kig1O",3,1
draftkings,1615137057,0,true,false,RT @dklive: @ShamsCharania UPDATE: 76ers C Joel Embiid and PG/SF Ben Simmons (health protocols) have been ruled out for tonight's All-Star…,6,0
draftkings,1615129205,166,false,false,"It's #NationalCerealDay! There's plenty of goodness to choose from, but which cereals are making your tiers lineup? https://t.co/B0Ar6u6yam",27,160
